year,area,area_name,xtype,racecomp,ss
2024,53,Washington,One or more young children,People of Color,0.364316809
2024,54,West Virginia,No young children,Total,0.505492431
2024,54,West Virginia,One or more young children,Total,0.341588705
2024,54,West Virginia,No young children,White,0.511705108
2024,54,West Virginia,One or more young children,White,0.35014492
2024,54,West Virginia,No young children,People of Color,0.435529672
2024,54,West Virginia,One or more young children,People of Color,0.278755805
2024,55,Wisconsin,No young children,Total,0.621042727
2024,55,Wisconsin,One or more young children,Total,0.399450645
2024,55,Wisconsin,No young children,White,0.634167461
2024,55,Wisconsin,One or more young children,White,0.444175195
2024,55,Wisconsin,No young children,People of Color,0.548532983
2024,55,Wisconsin,One or more young children,People of Color,0.26999459
2024,56,Wyoming,No young children,Total,0.603063638
2024,56,Wyoming,One or more young children,Total,0.423297376
2024,56,Wyoming,No young children,White,0.627410972
2024,56,Wyoming,One or more young children,White,0.449751873
2024,56,Wyoming,No young children,People of Color,0.46708735
2024,56,Wyoming,One or more young children,People of Color,0.292624608
2024,99999,United States,No young children,Total,0.582364017
2024,99999,United States,One or more young children,Total,0.407606901
2024,99999,United States,No young children,White,0.622750876
2024,99999,United States,One or more young children,White,0.495152119
2024,99999,United States,No young children,People of Color,0.504024264
2024,99999,United States,One or more young children,People of Color,0.307457051
