year,area,area_name,xtype,racecomp,ss
2024,42,Pennsylvania,No young children,Asian,0.589034117
2024,42,Pennsylvania,No young children,Other,0.589256343
2024,42,Pennsylvania,No young children,People of Color,0.492332651
2024,42,Pennsylvania,One or more young children,Total,0.440438538
2024,42,Pennsylvania,One or more young children,White,0.512628021
2024,42,Pennsylvania,One or more young children,Black,0.224730541
2024,42,Pennsylvania,One or more young children,Hispanic,0.228381136
2024,42,Pennsylvania,One or more young children,Asian,0.461036648
2024,42,Pennsylvania,One or more young children,Other,0.400742
2024,42,Pennsylvania,One or more young children,People of Color,0.288203902
2024,44,Rhode Island,No young children,Total,0.605046085
2024,44,Rhode Island,No young children,White,0.636942411
2024,44,Rhode Island,No young children,Black,0.473493943
2024,44,Rhode Island,No young children,Hispanic,0.398466345
2024,44,Rhode Island,No young children,Asian,0.674235927
2024,44,Rhode Island,No young children,Other,0.63457267
2024,44,Rhode Island,No young children,People of Color,0.503005717
2024,44,Rhode Island,One or more young children,Total,0.517935114
